,original,translated
0,ABGEBROCHEN,ABORTED
1,ABGERISSEN,ripped off
2,AKKUS,BATTERIES
3,ALLERDINGS,Allerdings
4,ALLES,EVERYTHING
5,ANDEREN,THEM
6,ANGELÖTET,SOLDERED ON
7,ANGESCHLOSSEN,connected
8,ANTRIEBSRIEMEN,TRANSMISSION BELT
9,AUSGETAUSCHT,Swapped&#x0D;
10,BATTERIE,BATTERY
11,BATTERIEN,BATTERIES
12,BEREITS,WE ALREADY HAVE
13,BESITZER,OWNER'S
14,BESITZERIN,Owner:
15,BESORGEN,GET
16,BESORGT,CONCERNED
17,BESTELLT,GmbH
18,BESUCHER,VISITORS
19,BESUCHERIN,VISITOR
20,BETRIEB,OPERATION
21,BLEIBT,do we remain ?
22,BLENDER,All that glitters isn't gold
23,BLIEB,remained
24,BRACHTE,citizens.
25,BUCHSE,SOCKET
26,DABEI,"Thereby,"
27,DAHER,"ON THESE GROUNDS,"
28,DAMIT,"DAMIT,"
29,DANACH,AFTER
30,DEFEKT,DEFECTIVE
31,DEFEKTE,DEFECTS
32,DEFEKTEN,DEFECTIVE
33,DIESE,THIS
34,DIESEM,this
35,DIESER,this
36,DISPLAY,DISPLAY
37,DREHT,does not
38,DREHTE,TURNED
39,DURCH,THROUGH
40,DURCHGEBRANNT,Blown Save
41,EINEM,EINEM
42,EINEN,LIVE
43,EINER,a.
44,EINES,of a
45,EINFACH,SIMPLY
46,EINGEBAUT,installed
47,EINIGE,einige
48,EINMAL,ONCE
49,EINSCHALTEN,ON
50,ELEKTRONIK,ELECTRONICS
51,ERFOLG,SUCCESS
52,ERSATZ,SPARE
53,ERSATZTEIL,Replacement parts
54,ERSATZTEILE,SPARE PARTS
55,ERSETZT,REPLACED
56,ETWAS,ADD .
57,FANDEN,FOUND
58,FEHLER,ERROR
59,FEHLERSUCHE,TROUBLESHOOTING
60,FESTSTELLEN,Braking
61,FINDEN,FIND
62,FORTSETZUNG,CONTINUED
63,FUNKTION,FUNCTION
64,FUNKTIONIERT,WORKS
65,FUNKTIONIERTE,WORKED
66,GEBROCHEN,BROKEN
67,GEFUNDEN,FOUND
68,GEHÄUSE,HOUSING
69,GELÖST,Solved
70,GEREINIGT,Cleaned
71,GERÄT,DEVICE
72,GERÄTES,DEVICE
73,GETAUSCHT,.
74,GEWECHSELT,SWITCHED
75,GEÖFFNET,OPENED
76,GLEICH,LIKE
77,HABEN,CREDIT
78,HATTE,had&#x0D;
79,HATTEN,had
80,HAUSE,House
81,HEISS,high energy ion scattering spectrometry
82,HEIZT,Not he
83,HEIZUNG,HEATING
84,HERAUS,nozzle
85,IMMER,ALWAYS
86,INNEREN,Page 29.
87,INTERNET,WEBSITE
88,JEDOCH,However
89,KABEL,CABLE
90,KABELBRUCH,CABLE BREAK
91,KAPUTT,BLOWN
92,KASSETTE,CASSETTE
93,KEINE,NO
94,KEINEN,NONE
95,KOMMT,ARRIVED
96,KONDENSATOR,CAPACITOR
97,KONNTE,could&#x0D;
98,KONNTEN,could
99,KONTAKT,CONTACT
100,KONTAKTE,CONTACTS
101,KURZSCHLUSS,Short circuit
102,KÖNNEN,CAN
103,LAMPE,LAMP
104,LAUFWERK,RUNNING GEAR
105,LAUFZETTEL,Routing slip
106,LAUTSPRECHER,SPEAKER
107,LEIDER,LEIDER
108,LEITERPLATTE,PCB
109,LEUCHTET,Lights up
110,LIESS,LET
111,LÄSST,can
112,LÄUFT,RUNNING
113,MACHEN,DO
114,MASCHINE,MACHINE
115,MECHANIK,MECHANICS
116,MOTOR,MOTOR
117,MUSSTE,had to
118,MUSSTEN,mussten.
119,MÖGLICH,POSSIBLE
120,NACHDEM,Since
121,NETZTEIL,POWER
122,NEUEN,NEW
123,NEUER,NEW
124,NEUES,NEW
125,NICHT,NOT
126,NICHTS,NIL
127,NÄCHSTEN,NEXT
128,OFFENBAR,"Apparently,"
129,ORDNUNG,ORDER
130,PLATINE,MAIN PLATE
131,PLAYER,PLAYER
132,PROBLEM,PROBLEM
133,RADIO,RADIO
134,REINIGTEN,CLEANED
135,REINIGUNG,CLEANING
136,REPARATUR,RE PAIR
137,REPARATURNUMMER,Claim Number
138,REPARIEREN,REPAIR.
139,REPARIERT,REPAIRED
140,RICHTIG,RIGHT
141,RIEMEN,BELT
142,SCHALTER,SWITCH
143,SCHALTET,level
144,SCHNELL,FAST
145,SCHON,SCHÖN
146,SELBST,ONESELF
147,SICHERUNG,FUSE
148,SODASS,SO THAT
149,SOFTWARE,SOFTWARE
150,SOLLTE,WASTE
151,SPANNUNG,VOLTAGE
152,STARK,STRONG
153,STECKER,CONNECTOR
154,STELLTEN,posed.
155,STROM,ELECTRICITY
156,THERMOSICHERUNG,Thermal fuse
157,UNTER,UNDER
158,UNTERSUCHTEN,EXAMINED
159,URSACHE,CAUSE
160,VERMUTLICH,presumably
161,WACKELKONTAKT,Defective contact
162,WAREN,GOODS
163,WASSER,WATER
164,WEITER,CONTINUE
165,WERDEN,IMPLEMENTED
166,WIEDER,RESTORATION :
167,WINDOWS,windows
168,WOLLTE,NEVER
169,WURDE,HAS CONFERRED ON
170,WURDEN,were
171,ZEIGTE,.
172,ZERLEGEN,Disassembly
173,ZERLEGT,DECOMPOSED
174,ZERLEGTEN,DECOMPOSED
175,ZUSAMMEN,TOGETHER
176,ZUVERLÄSSIG,RELIABLE
177,ÖFFNEN,OPEN
