,original,translated
0,ABOUT,ABOUT
1,ACCESS,ACCESS
2,ADVICE,ADVICE
3,ADVISED,ADVISED
4,AERIAL,AERIAL
5,AFTER,AFTER
6,AGAIN,AGAIN
7,ALARM,ALARM
8,ANOTHER,ANOTHER
9,APART,APART
10,APPEARS,APPEARS
11,AROUND,AROUND
12,ASSEMBLY,ASSEMBLY
13,AUDIO,AUDIO
14,AVAILABLE,AVAILABLE
15,BATTERIES,BATTERIES
16,BATTERY,BATTERY
17,BECAUSE,BECAUSE
18,BEFORE,BEFORE
19,BEING,BEING
20,BLACK,BLACK
21,BLADE,BLADE
22,BLADES,BLADES
23,BLENDER,BLENDER
24,BLOCKED,BLOCKED
25,BLOWN,BLOWN
26,BOARD,BOARD
27,BOBBIN,BOBBIN
28,BOOTING,BOOTING
29,BOTTOM,BOTTOM
30,BOUGHT,BOUGHT
31,BRING,BRING
32,BROKE,BROKE
33,BROKEN,BROKEN
34,BROUGHT,BROUGHT
35,BRUSH,BRUSH
36,BURNING,BURNING
37,BURNT,BURNT
38,BUTTON,BUTTON
39,BUTTONS,BUTTONS
40,CABLE,CABLE
41,CAMERA,CAMERA
42,CANNOT,CANNOT
43,CAPACITOR,CAPACITOR
44,CASING,CASING
45,CASSETTE,CASSETTE
46,CATEGORY_OTHER,CATEGORY_OTHER
47,CHANGE,CHANGE
48,CHANGED,CHANGED
49,CHANNEL,CHANNEL
50,CHARGE,CHARGE
51,CHARGER,CHARGER
52,CHARGING,CHARGING
53,CHECK,CHECK
54,CHECKED,CHECKED
55,CIRCUIT,CIRCUIT
56,CLEAN,CLEAN
57,CLEANED,CLEANED
58,CLEANER,CLEANER
59,CLEANING,CLEANING
60,CLIENT,CLIENT
61,CLINIC,CLINIC
62,CLOCK,CLOCK
63,COFFEE,COFFEE
64,COMING,COMING
65,COMPONENT,COMPONENT
66,COMPUTER,COMPUTER
67,CONNECTED,CONNECTED
68,CONNECTION,CONNECTION
69,CONNECTIONS,CONNECTIONS
70,CONNECTOR,CONNECTOR
71,CONTACT,CONTACT
72,CONTACTS,CONTACTS
73,CONTROL,CONTROL
74,CONTROLLER,CONTROLLER
75,CORRECT,CORRECT
76,CORRECTLY,CORRECTLY
77,CORRODED,CORRODED
78,COULD,COULD
79,COULDN,COULDN
80,COVER,COVER
81,CRACKED,CRACKED
82,CUSTOMER,CUSTOMER
83,CUTTING,CUTTING
84,DAMAGE,DAMAGE
85,DAMAGED,DAMAGED
86,DEFECT,DEFECT
87,DEFECTIVE,DEFECTIVE
88,DETACHED,DETACHED
89,DEVICE,DEVICE
90,DIAGNOSED,DIAGNOSED
91,DIFFICULT,DIFFICULT
92,DIGITAL,DIGITAL
93,DIRTY,DIRTY
94,DISPLAY,DISPLAY
95,DOESN,DOESN
96,DOESNT,DOESNT
97,DRILL,DRILL
98,DRIVE,DRIVE
99,DROPPED,DROPPED
100,DRYER,DRYER
101,ELECTRIC,ELECTRIC
102,ELECTRICAL,ELECTRICAL
103,ELECTRONIC,ELECTRONIC
104,ELEMENT,ELEMENT
105,ENOUGH,ENOUGH
106,ERROR,ERROR
107,EVENT,EVENT
108,EXACT,EXACT
109,EXTERNAL,EXTERNAL
110,FAILED,FAILED
111,FAILURE,FAILURE
112,FAULT,FAULT
113,FAULTY,FAULTY
114,FIRST,FIRST
115,FITTED,FITTED
116,FITTING,FITTING
117,FIXED,FIXED
118,FIXING,FIXING
119,FOUND,FOUND
120,FULLY,FULLY
121,FUNCTION,FUNCTION
122,FUNCTIONING,FUNCTIONING
123,FURTHER,FURTHER
124,GETTING,GETTING
125,GIVEN,GIVEN
126,GLUED,GLUED
127,GOING,GOING
128,HANDLE,HANDLE
129,HEADPHONES,HEADPHONES
