,original,translated
0,AAN/UIT,ON/OFF
1,AANSCHAFFEN,Sales
2,AANSLUITING,CONNECTION
3,AANZETTEN,Turn on
4,ADAPTER,ADAPTERS
5,ADVIES,ADVICE
6,AFGEBROKEN,ABORTED
7,ALLEEN,ALONE
8,ANDERE,OTHER
9,ANTENNE,ANTENNA
10,APPARAAT,DEVICE
11,BANDJE,Tape:
12,BATTERIJ,BATTERY
13,BATTERIJEN,BATTERIES
14,BEDRADING,WIRES
15,BEELD,IMAGE
16,BESCHADIGD,DAMAGED
17,BESTELD,Ordered
18,BESTELLEN,ORDER
19,BEVEILIGING,SECURITY
20,BLIJFT,stays
21,BOILER,BOILER
22,BRAND,FIRE
23,BRANDEN,FLAME CUTTING
24,BRANDT,Mr BRANDT
25,BREUK,break
26,BROKEN,Broken
27,CARTRIDGE,cartridge
28,CASSETTE,cassette
29,CONDENSATOR,CAPACITOR
30,CONNECTOR,connector
31,CONTACT,CONTACT INFO
32,CONTACTEN,CONTACTS
33,DAARNA,After that
34,DEFECT,BROKEN
35,DEFECTE,faulty
36,DEKSEL,COVER
37,DICHT,ALIGHT
38,DIMMER,Dimmer
39,DISPLAY,DISPLAY
40,DOORGEBRAND,BLOWN
41,DRAAD,wire
42,DRAADBREUK,break of conductor strands
43,DRAADJE,Thread
44,DRAAIEN,TURNING
45,DRAAIT,running
46,ELECTRONICA,Electronics
47,ELEKTRONICA,ELECTRONICS
48,ELEMENT,ELEMENT
49,ELKAAR,EACH OTHER.
50,ERUIT,ABOUT
51,FILTER,FILTER
52,FITTING,Piping and plumbing fittings
53,FUNCTIONEERT,WORKS
54,GEBROKEN,broken
55,GEBRUIK,USE
56,GEBRUIKEN,USE
57,GEBRUIKT,USE
58,GEEFT,SPECIFY
59,GEGEVEN,ITEM
60,GELUID,NOISE
61,GEMAAKT,created
62,GEREPAREERD,FIXED
63,GESMEERD,Lubricated
64,GESOLDEERD,SOLDERED
65,GEVALLEN,Falls
66,GEVONDEN,FOUND
67,GEZET,SET
68,HANGEN,SLOUCHING
69,HAPERT,HAPERT
